2025-07-17 21:45:46.134 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:46.134 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:46.370 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:46.370 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:46.612 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:46.612 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:46.861 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:46.861 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:47.140 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:47.141 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:47.417 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:47.417 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:47.696 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:47.697 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:47.979 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:47.979 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:48.260 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:48.260 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:48.534 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:48.534 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:48.807 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:48.807 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:49.078 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:49.078 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:49.358 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:49.358 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:49.641 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:49.641 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:49.916 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:49.916 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
